Job Title	Company Name	Company Ratings	Location	Salary	Job Type
Python Developer (Fullstack)	Konviere Corporation		"Leawood, KS"	Estimated $78.6K - $99.6K a year	Full-time
Senior Python Developer	OMBU		"Portland, OR 97214, (Buckman area)"	Estimated $102K - $130K a year	Part-time
Python QT Developer	Palnar Transmedia		United States	Estimated $94.1K - $119K a year	
Python (Django/Flask) Developer	Trood		"New York, NY 10272, (Financial District area)"	Estimated $122K - $155K a year	
Python - AWS Developer ( US- Remote)	Amgen	4	"Remote in Thousand Oaks, CA"		Full-time
Python and Airflow Developer	Capgemini	3.8	Remote	Estimated $95.8K - $121K a year	Contract
"AMTS, Software Engineer"	Salesforce	4.4	"Remote in San Francisco, CA"		Full-time
Senior Python Full Stack Developer	Blue People		Remote	Estimated $93.5K - $118K a year	
Senior Python Developer	Ollanna		"San Francisco, CA"	Estimated $140K - $177K a year	Self-determined schedule
Software Developer - Python	"NIKSUN, Inc."	1	Remote	Estimated $74.6K - $94.4K a year	Full-time
Remote Python Developer	Piper Companies	4.5	Remote	"$100,000 - $145,000 a year"	
Python Developer	Intone Networks	4.2	"Johnston, IA"	Estimated $112K - $142K a year	Contract
Python Developer	Nexient	3.5	Remote in United States	Estimated $91K - $115K a year	Full-time
Python Developer	Virtualware Innovations		"Dallas, TX 75204, (M Streets area)"	Estimated $94.8K - $120K a year	
"Developer, Frontend"	"Swap.com, Inc."		"Remote in Bolingbrook, IL 60440"	Estimated $84.2K - $107K a year	Part-time
Python Developer	Fresh Consulting	3.7	"New York, NY"	Estimated $107K - $136K a year	"Full-time
+1"
Full Stack Developer (React/Python)	Kyte	3.4	"Remote in San Francisco, CA"	Estimated $133K - $169K a year	Full-time
Senior Software Engineer	Underdog.io		"Hybrid remote in San Francisco, CA"	"$157,872 - $166,937 a year"	Full-time
Python Developer	Santex Group		United States	Estimated $88.1K - $112K a year	
Python Developer	"UpStack Technologies, Inc."		"New York, NY"	Estimated $100K - $127K a year	Full-time
Senior Python Software Engineer - Ultra Cruise SDV	General Motors	4	"Warren, MI"		Full-time
Mid Full Stack Engineer (Python / React)	EX2 Outcoding		Remote	Estimated $77.8K - $98.6K a year	Full-time
Staff Software Engineer	Uber	3.6	"San Francisco, CA 94103, (South of Market area)"	Estimated $154K - $195K a year	Full-time
Staff Python Engineer	Wellframe		"Remote in Boston, MA 02210"	Estimated $138K - $175K a year	
Python Developer	Sigma Solve		"Sunrise, FL"	Estimated $113K - $143K a year	
Entry / Mid Level Python Developer	Rush Order	3.4	"Gilroy, CA 95020"	Estimated $61.8K - $78.2K a year	
Python Developer	Cloud Info Global		United States	Estimated $92.4K - $117K a year	
Full Stack Developer (Python)	Tek Ninjas		"Oakland, CA 94601, (Harrington area)"	Estimated $101K - $128K a year	Full-time
